hole_id,row_id,surface,source_nasa_hole,signed_surface_arc_mm,x_mm,y_mm,z_mm,exit_axis_x,exit_axis_y,exit_axis_z,diameter_mm,physical_hole_length_mm,span_pitch_mm,stagger_group
LE1_NASA17_z01,LE1,pressure,17,-7.920000,4.068047,102.843115,2.800000,-0.643981675,-0.765040915,0.000000000,0.990000,3.350000,7.425000,A
LE1_NASA17_z02,LE1,pressure,17,-7.920000,4.068047,102.843115,10.225000,-0.643981675,-0.765040915,0.000000000,0.990000,3.350000,7.425000,A
LE2_NASA16_z01,LE2,pressure,16,-3.960000,1.564050,105.886170,6.512500,-0.868602127,-0.495510186,0.000000000,0.990000,3.350000,7.425000,B
LE2_NASA16_z02,LE2,pressure,16,-3.960000,1.564050,105.886170,13.937500,-0.868602127,-0.495510186,0.000000000,0.990000,3.350000,7.425000,B
LE3_NASA15_z01,LE3,stagnation,15,0.000000,0.218074,109.590430,2.800000,-0.984033673,-0.177982385,0.000000000,0.990000,3.350000,7.425000,A
LE3_NASA15_z02,LE3,stagnation,15,0.000000,0.218074,109.590430,10.225000,-0.984033673,-0.177982385,0.000000000,0.990000,3.350000,7.425000,A
LE4_NASA14_z01,LE4,suction,14,3.960000,0.183492,113.531463,6.512500,-0.988766433,0.149468865,0.000000000,0.990000,3.350000,7.425000,B
LE4_NASA14_z02,LE4,suction,14,3.960000,0.183492,113.531463,13.937500,-0.988766433,0.149468865,0.000000000,0.990000,3.350000,7.425000,B
LE5_NASA13_z01,LE5,suction,13,7.920000,1.420162,117.278285,2.800000,-0.910503871,0.413500546,0.000000000,0.990000,3.350000,7.425000,A
LE5_NASA13_z02,LE5,suction,13,7.920000,1.420162,117.278285,10.225000,-0.910503871,0.413500546,0.000000000,0.990000,3.350000,7.425000,A
